"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 11, 2025","84,095.0","79,750.0","84,490.0","79,055.0","12.14K","5.52%"
"Apr 10, 2025","79,695.0","83,410.0","83,880.0","78,495.0","12.13K","-3.53%"
"Apr 09, 2025","82,615.0","77,065.0","83,550.0","74,655.0","17.30K","7.55%"
"Apr 08, 2025","76,815.0","79,490.0","81,100.0","76,390.0","13.59K","-1.83%"
"Apr 07, 2025","78,245.0","79,590.0","81,450.0","74,635.0","24.24K","-7.24%"
"Apr 04, 2025","84,350.0","82,845.0","85,060.0","81,890.0","14.52K","2.66%"
"Apr 03, 2025","82,165.0","85,135.0","85,240.0","81,400.0","12.71K","-5.96%"
"Apr 02, 2025","87,375.0","85,600.0","89,020.0","84,285.0","11.51K","2.37%"
"Apr 01, 2025","85,350.0","82,805.0","85,955.0","82,485.0","11.68K","3.19%"
"Mar 31, 2025","82,710.0","82,505.0","84,250.0","81,485.0","7.92K","-1.59%"
"Mar 28, 2025","84,045.0","87,995.0","88,050.0","83,800.0","11.00K","-3.42%"
"Mar 27, 2025","87,025.0","87,130.0","87,785.0","85,805.0","7.63K","0.58%"
"Mar 26, 2025","86,525.0","87,960.0","88,355.0","85,810.0","8.21K","-1.85%"
"Mar 25, 2025","88,155.0","88,265.0","88,595.0","86,315.0","10.60K","-0.85%"
"Mar 24, 2025","88,915.0","85,600.0","89,335.0","85,600.0","8.76K","5.28%"
"Mar 21, 2025","84,455.0","84,880.0","85,205.0","83,710.0","6.63K","-0.27%"
"Mar 20, 2025","84,680.0","86,040.0","88,050.0","84,190.0","3.38K","-1.69%"
"Mar 19, 2025","86,135.0","82,610.0","86,610.0","82,610.0","5.20K","4.15%"
"Mar 18, 2025","82,700.0","84,770.0","84,770.0","81,590.0","3.35K","-2.84%"
"Mar 17, 2025","85,115.0","83,510.0","85,395.0","82,800.0","2.99K","0.32%"
"Mar 14, 2025","84,840.0","80,820.0","85,595.0","80,760.0","10.85K","5.73%"
"Mar 13, 2025","80,245.0","83,335.0","84,550.0","80,040.0","8.10K","-3.50%"
"Mar 12, 2025","83,155.0","83,385.0","84,650.0","80,740.0","9.08K","-0.29%"
"Mar 11, 2025","83,395.0","79,600.0","83,850.0","76,735.0","11.38K","5.53%"
"Mar 10, 2025","79,025.0","82,110.0","84,200.0","77,530.0","14.12K","-9.43%"
"Mar 07, 2025","87,250.0","90,590.0","91,665.0","84,790.0","18.53K","-2.47%"
"Mar 06, 2025","89,460.0","91,075.0","93,210.0","88,155.0","9.41K","-1.62%"
"Mar 05, 2025","90,935.0","87,825.0","91,530.0","86,750.0","9.65K","4.13%"
"Mar 04, 2025","87,330.0","86,970.0","89,380.0","81,815.0","14.11K","1.18%"
"Mar 03, 2025","86,315.0","95,000.0","95,705.0","85,485.0","14.92K","1.97%"
"Feb 28, 2025","84,650.0","84,965.0","85,720.0","78,675.0","17.88K","1.53%"
"Feb 27, 2025","83,375.0","84,250.0","87,015.0","82,600.0","8.59K","-1.08%"
"Feb 26, 2025","84,285.0","88,695.0","89,285.0","82,185.0","15.94K","-4.73%"
"Feb 25, 2025","88,465.0","93,325.0","93,325.0","86,205.0","17.93K","-6.42%"
"Feb 24, 2025","94,530.0","96,315.0","97,255.0","94,090.0","9.09K","-0.80%"
"Feb 21, 2025","95,295.0","99,320.0","100,450.0","95,210.0","12.98K","-4.15%"
"Feb 20, 2025","99,425.0","97,620.0","99,720.0","97,580.0","7.43K","2.49%"
"Feb 19, 2025","97,010.0","95,875.0","97,605.0","95,870.0","5.52K","2.39%"
"Feb 18, 2025","94,750.0","97,865.0","97,865.0","94,005.0","6.60K","-2.88%"
"Feb 14, 2025","97,555.0","96,640.0","99,350.0","96,440.0","9.91K","1.08%"
"Feb 13, 2025","96,510.0","98,300.0","98,440.0","95,370.0","10.73K","-0.91%"
"Feb 12, 2025","97,395.0","95,925.0","98,295.0","94,285.0","9.60K","2.06%"
"Feb 11, 2025","95,425.0","97,725.0","98,960.0","95,065.0","8.94K","-2.31%"
"Feb 10, 2025","97,680.0","95,990.0","98,755.0","95,505.0","7.18K","1.76%"
"Feb 07, 2025","95,990.0","97,260.0","100,765.0","95,890.0","11.79K","-1.33%"
"Feb 06, 2025","97,285.0","96,990.0","99,765.0","96,030.0","9.26K","-0.43%"
"Feb 05, 2025","97,710.0","98,195.0","99,735.0","96,880.0","7.68K","-1.49%"
"Feb 04, 2025","99,185.0","102,615.0","102,635.0","97,035.0","12.85K","-2.73%"
"Feb 03, 2025","101,965.0","98,445.0","102,875.0","91,455.0","23.15K","-0.13%"
"Jan 31, 2025","102,095.0","105,980.0","106,945.0","102,020.0","13.15K","-2.73%"
"Jan 30, 2025","104,960.0","103,840.0","106,570.0","103,345.0","9.56K","0.62%"
"Jan 29, 2025","104,315.0","101,185.0","104,920.0","100,950.0","10.66K","3.07%"
"Jan 28, 2025","101,205.0","101,730.0","103,870.0","100,300.0","14.16K","-0.29%"
"Jan 27, 2025","101,495.0","104,695.0","104,695.0","97,650.0","25.89K","-4.18%"
"Jan 24, 2025","105,920.0","104,985.0","108,330.0","103,615.0","11.10K","1.69%"
"Jan 23, 2025","104,155.0","105,115.0","107,980.0","102,075.0","9.40K","-1.10%"
"Jan 22, 2025","105,310.0","107,095.0","107,565.0","104,440.0","3.68K","-1.86%"
"Jan 21, 2025","107,310.0","104,835.0","110,965.0","100,260.0","12.13K","1.93%"
"Jan 17, 2025","105,280.0","100,265.0","106,575.0","100,190.0","13.87K","4.55%"
"Jan 16, 2025","100,700.0","100,125.0","101,425.0","97,555.0","10.45K","0.64%"
"Jan 15, 2025","100,060.0","96,990.0","101,240.0","96,855.0","12.80K","3.26%"
"Jan 14, 2025","96,905.0","94,700.0","97,810.0","94,550.0","11.87K","3.19%"
"Jan 13, 2025","93,905.0","94,500.0","96,420.0","89,525.0","16.03K","-1.37%"
"Jan 10, 2025","95,210.0","92,675.0","96,375.0","92,350.0","12.07K","3.33%"
"Jan 09, 2025","92,140.0","95,560.0","95,640.0","91,300.0","8.38K","-2.22%"
"Jan 08, 2025","94,230.0","97,520.0","97,565.0","92,745.0","9.66K","-2.64%"
