"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2025","114.78","115.38","115.56","114.69","324.64K","-0.54%"
"02/10/2025","115.41","115.50","115.91","115.22","338.87K","-0.11%"
"02/07/2025","115.53","116.19","117.03","115.22","540.80K","-0.48%"
"02/06/2025","116.09","116.22","116.44","115.75","605.10K","-0.05%"
"02/05/2025","116.16","114.72","116.41","114.50","614.37K","1.23%"
"02/04/2025","114.75","114.06","114.81","113.56","466.85K","0.33%"
"02/03/2025","114.38","114.00","115.47","113.88","746.30K","0.41%"
"01/31/2025","113.91","114.66","114.84","113.66","603.12K","-0.65%"
"01/30/2025","114.66","114.38","115.03","114.22","431.24K","0.49%"
"01/29/2025","114.09","114.25","114.69","113.63","434.93K","0.00%"
"01/28/2025","114.09","114.28","114.34","113.72","327.71K","-0.25%"
"01/27/2025","114.38","113.22","114.78","113.22","567.73K","1.05%"
"01/24/2025","113.19","112.81","113.28","112.53","375.84K","0.28%"
"01/23/2025","112.88","113.25","113.50","112.53","449.19K","-0.50%"
"01/22/2025","113.44","113.50","113.94","113.19","390.39K","-0.19%"
"01/21/2025","113.66","112.91","114.09","112.50","465.11K","0.50%"
"01/17/2025","113.09","112.88","113.63","112.81","394.06K","0.08%"
"01/16/2025","113.00","112.44","113.28","112.06","510.95K","0.42%"
"01/15/2025","112.53","110.94","112.94","110.94","569.66K","1.47%"
"01/14/2025","110.91","111.16","111.50","110.59","378.97K","0.06%"
"01/13/2025","110.84","111.34","111.47","110.78","386.84K","-0.34%"
"01/10/2025","111.22","112.03","112.22","110.88","595.59K","-0.81%"
"01/09/2025","112.13","111.94","112.69","111.94","267.83K","0.14%"
"01/08/2025","111.97","112.16","112.41","111.44","590.88K","-0.17%"
"01/07/2025","112.16","112.97","113.28","111.97","510.64K","-0.86%"
"01/06/2025","113.13","113.47","113.75","112.81","437.88K","-0.36%"
"01/03/2025","113.53","114.03","114.34","113.44","260.85K","-0.19%"
"01/02/2025","113.75","113.75","114.59","113.34","338.51K","-0.08%"
"12/31/2024","113.84","114.28","114.72","113.59","327.03K","-0.22%"
"12/30/2024","114.09","113.19","114.28","113.06","254.06K","0.72%"
"12/27/2024","113.28","113.81","114.03","113.06","236.86K","-0.58%"
"12/26/2024","113.94","113.78","114.06","113.09","184.61K","0.05%"
"12/24/2024","113.88","113.75","113.94","113.19","173.62K","0.28%"
"12/23/2024","113.56","114.50","114.59","113.56","253.00K","-0.82%"
"12/20/2024","114.50","114.06","115.03","114.00","411.29K","0.41%"
"12/19/2024","114.03","114.78","115.00","113.53","686.07K","-0.90%"
"12/18/2024","115.06","116.25","116.47","114.69","496.43K","-1.15%"
"12/17/2024","116.41","116.25","116.69","115.69","480.12K","0.19%"
"12/16/2024","116.19","116.28","116.66","115.91","389.92K","-0.05%"
"12/13/2024","116.25","117.31","117.47","116.13","372.42K","-0.85%"
"12/12/2024","117.25","118.06","118.19","117.06","462.73K","-0.77%"
"12/11/2024","118.16","118.94","119.19","118.03","449.32K","-0.74%"
"12/10/2024","119.03","119.38","119.53","118.66","324.40K","-0.26%"
"12/09/2024","119.34","120.00","120.31","119.31","338.66K","-0.68%"
"12/06/2024","120.16","119.84","120.56","119.53","380.77K","0.23%"
"12/05/2024","119.88","119.78","120.00","119.25","334.09K","0.08%"
"12/04/2024","119.78","119.06","119.88","118.31","484.75K","0.50%"
"12/03/2024","119.19","119.66","120.00","118.91","398.20K","-0.42%"
"12/02/2024","119.69","119.53","120.00","118.88","481.01K","0.16%"
"11/29/2024","119.50","118.59","119.66","118.41","397.10K","0.58%"
"11/27/2024","118.81","118.06","119.13","117.97","590.79K","0.66%"
"11/26/2024","118.03","118.28","118.47","117.66","673.69K","-0.21%"
"11/25/2024","118.28","117.03","118.34","116.84","1.28M","1.72%"
"11/22/2024","116.28","116.31","116.84","116.06","1.02M","0.13%"
"11/21/2024","116.13","116.47","116.91","116.00","864.07K","-0.38%"
"11/20/2024","116.56","116.66","116.91","116.09","605.40K","-0.29%"
"11/19/2024","116.91","116.28","117.41","116.25","527.96K","0.51%"
"11/18/2024","116.31","116.09","116.63","115.28","463.14K","0.00%"
